0020 -> 8359 :   -> 荙
5C23 -> 5AAA : 尣 -> 媪
5C24 -> 5908 : 尤 -> 夈
5C25 -> 6E9D : 尥 -> 溝
5C26 -> 70C8 : 尦 -> 烈
5C27 -> 8F68 : 尧 -> 轨
5C28 -> 7029 : 尨 -> 瀩
5C29 -> 64B6 : 尩 -> 撶
5C2A -> FE6B : 尪 -> ﹫
5C2B -> 6696 : 尫 -> 暖
5C2C -> 95D8 : 尬 -> 闘
5C2D -> 80AB : 尭 -> 肫
5C2E -> 6492 : 尮 -> 撒
5C2F -> 59F0 : 尯 -> 姰
5C30 -> 82A2 : 尰 -> 芢
5C31 -> 6B28 : 就 -> 欨
5C32 -> 75D9 : 尲 -> 痙
5C33 -> 5EEC : 尳 -> 廬
5C34 -> 731A : 尴 -> 猚
5C35 -> 9405 : 尵 -> 鐅
5C36 -> 7A11 : 尶 -> 稑
5C37 -> 9031 : 尷 -> 週
5C38 -> 91BF : 尸 -> 醿
5C39 -> 83FC : 尹 -> 菼
5C3A -> 89EA : 尺 -> 觪
5C3B -> 971A : 尻 -> 霚
5C3C -> 76FE : 尼 -> 盾
5C3D -> 416D : 尽 -> 䅭
5C3E -> 43F8 : 尾 -> 䏸
5C3F -> 93B8 : 尿 -> 鎸
5C40 -> 3A0E : 局 -> 㨎
5C41 -> 79EE : 屁 -> 秮
5C42 -> 4734 : 层 -> 䜴
5C43 -> 5E09 : 屃 -> 帉
5C44 -> 9F11 : 屄 -> 鼑
5C45 -> 6D4A : 居 -> 浊
5C46 -> 5672 : 屆 -> 噲
5C47 -> 4B9A : 屇 -> 䮚
5C48 -> 7715 : 屈 -> 眕
5C49 -> 6D33 : 屉 -> 洳
5C4A -> 894A : 届 -> 襊
5C4B -> 3B83 : 屋 -> 㮃
5C4C -> 721E : 屌 -> 爞
5C4D -> 6054 : 屍 -> 恔
5C4E -> 5023 : 屎 -> 倣
5C4F -> 884B : 屏 -> 衋
5C50 -> 72F5 : 屐 -> 狵
5C51 -> 5EC8 : 屑 -> 廈
5C52 -> 6342 : 屒 -> 捂
5C53 -> 9392 : 屓 -> 鎒
5C54 -> 6DFE : 屔 -> 淾
5C55 -> 70C0 : 展 -> 烀
5C56 -> 7B0D : 屖 -> 笍
5C57 -> 628C : 屗 -> 抌
5C58 -> 6F81 : 屘 -> 澁
5C59 -> 4B30 : 屙 -> 䬰
5C5A -> 55B2 : 屚 -> 喲
5C5B -> 4BBD : 屛 -> 䮽
5C5C -> 4E0B : 屜 -> 下
5C5D -> 54E3 : 屝 -> 哣
5C5E -> 94D7 : 属 -> 铗
5C5F -> 6F50 : 屟 -> 潐
5C60 -> 5ED1 : 屠 -> 廑
5C61 -> 44AD : 屡 -> 䒭
5C62 -> 642C : 屢 -> 搬
5C63 -> 363F : 屣 -> 㘿
5C64 -> 93DC : 層 -> 鏜
5C65 -> 9049 : 履 -> 遉
5C66 -> 4498 : 屦 -> 䒘
5C67 -> 4A99 : 屧 -> 䪙
5C68 -> 5873 : 屨 -> 塳
5C69 -> 571F : 屩 -> 土
5C6A -> 6954 : 屪 -> 楔
5C6B -> 3776 : 屫 -> 㝶
5C6C -> 43A8 : 屬 -> 䎨
5C6D -> 4543 : 屭 -> 䕃
5C6E -> 6145 : 屮 -> 慅
5C6F -> 6401 : 屯 -> 搁
5C70 -> 6B1B : 屰 -> 欛
5C71 -> 4CBD : 山 -> 䲽
5C72 -> 967F : 屲 -> 陿
5C73 -> 6E9F : 屳 -> 溟
5C74 -> 68D3 : 屴 -> 棓
5C75 -> 9F09 : 屵 -> 鼉
5C76 -> 4B0F : 屶 -> 䬏
5C77 -> 58AE : 屷 -> 墮
5C78 -> 6181 : 屸 -> 憁
5C79 -> 355B : 屹 -> 㕛
5C7A -> 76DE : 屺 -> 盞
5C7B -> 45A1 : 屻 -> 䖡
5C7C -> 9507 : 屼 -> 锇
5C7D -> 3D1E : 屽 -> 㴞
5C7E -> 7D6C : 屾 -> 絬
5C7F -> 8A6A : 屿 -> 詪
5C80 -> 91A5 : 岀 -> 醥
5C81 -> 7277 : 岁 -> 牷
5C82 -> 5643 : 岂 -> 噃
5C83 -> 6CB0 : 岃 -> 沰
5C84 -> 258E : 岄 -> ▎
5C85 -> 9744 : 岅 -> 靄
5C86 -> 79A0 : 岆 -> 禠
5C87 -> 4BA8 : 岇 -> 䮨
5C88 -> 8A76 : 岈 -> 詶
5C89 -> 86E6 : 岉 -> 蛦
5C8A -> 66DF : 岊 -> 曟
5C8B -> 774E : 岋 -> 睎
5C8C -> 504A : 岌 -> 偊
5C8D -> 91EC : 岍 -> 釬
5C8E -> 7131 : 岎 -> 焱
5C8F -> 70E2 : 岏 -> 烢
5C90 -> 489A : 岐 -> 䢚
5C91 -> 85D4 : 岑 -> 藔
5C92 -> 8577 : 岒 -> 蕷
5C93 -> 541F : 岓 -> 吟
5C94 -> 9681 : 岔 -> 隁
5C95 -> 9848 : 岕 -> 顈
5C96 -> 9CA4 : 岖 -> 鲤
5C97 -> 7F83 : 岗 -> 羃
5C98 -> 8B9E : 岘 -> 讞
5C99 -> 8F5D : 岙 -> 轝
5C9A -> 2550 : 岚 -> ═
5C9B -> 48EA : 岛 -> 䣪
5C9C -> 3E4A : 岜 -> 㹊
5C9D -> 6438 : 岝 -> 搸
5C9E -> 3465 : 岞 -> 㑥
5C9F -> 6A82 : 岟 -> 檂
5CA0 -> 65A6 : 岠 -> 斦
5CA1 -> 9332 : 岡 -> 録
5CA2 -> 4C92 : 岢 -> 䲒
5CA3 -> 9C93 : 岣 -> 鲓
5CA4 -> 535A : 岤 -> 博
5CA5 -> 3401 : 岥 -> 㐁
5CA6 -> 4A20 : 岦 -> 䨠
5CA7 -> 250A : 岧 -> ┊
5CA8 -> 95FC : 岨 -> 闼
5CA9 -> 9393 : 岩 -> 鎓
5CAA -> 8703 : 岪 -> 蜃
5CAB -> 5AF2 : 岫 -> 嫲
5CAC -> 3E83 : 岬 -> 㺃
5CAD -> 4065 : 岭 -> 䁥
5CAE -> 3473 : 岮 -> 㑳
5CAF -> 0144 : 岯 -> ń
5CB0 -> 51CF : 岰 -> 减
5CB1 -> E85B : 岱 -> 
5CB2 -> 9F1A : 岲 -> 鼚
5CB3 -> 4D1D : 岳 -> 䴝
5CB4 -> 680C : 岴 -> 栌
5CB5 -> 7E92 : 岵 -> 纒
5CB6 -> 40B8 : 岶 -> 䂸
5CB7 -> 5154 : 岷 -> 兔
5CB8 -> 4979 : 岸 -> 䥹
5CB9 -> E851 : 岹 -> 
5CBA -> 9198 : 岺 -> 醘
5CBB -> 4D60 : 岻 -> 䵠
5CBC -> 61F4 : 岼 -> 懴
5CBD -> 6B23 : 岽 -> 欣
5CBE -> 4A04 : 岾 -> 䨄
5CBF -> 4117 : 岿 -> 䄗
5CC0 -> 5FA3 : 峀 -> 徣
5CC1 -> 4593 : 峁 -> 䖓
5CC2 -> 641E : 峂 -> 搞
5CC3 -> 49C2 : 峃 -> 䧂
5CC4 -> 5305 : 峄 -> 包
5CC5 -> 966F : 峅 -> 陯
5CC6 -> 7F85 : 峆 -> 羅
5CC7 -> 446D : 峇 -> 䑭
5CC8 -> 6793 : 峈 -> 枓
5CC9 -> 54C7 : 峉 -> 哇
5CCA -> 945F : 峊 -> 鑟
5CCB -> 5914 : 峋 -> 夔
5CCC -> 359E : 峌 -> 㖞
5CCD -> 6099 : 峍 -> 悙
5CCE -> 5965 : 峎 -> 奥
5CCF -> 426D : 峏 -> 䉭
5CD0 -> 61ED : 峐 -> 懭
5CD1 -> 873E : 峑 -> 蜾
5CD2 -> 8B2B : 峒 -> 謫
5CD3 -> 5564 : 峓 -> 啤
5CD4 -> 84BF : 峔 -> 蒿
5CD5 -> 97C3 : 峕 -> 韃
5CD6 -> 3CCA : 峖 -> 㳊
5CD7 -> 5713 : 峗 -> 圓
5CD8 -> 5EBD : 峘 -> 庽
5CD9 -> E791 : 峙 -> 
5CDA -> 973B : 峚 -> 霻
5CDB -> 49A6 : 峛 -> 䦦
5CDC -> 0440 : 峜 -> р
5CDD -> 9DD8 : 峝 -> 鷘
5CDE -> 8135 : 峞 -> 脵
5CDF -> 8A99 : 峟 -> 誙
5CE0 -> 5AD7 : 峠 -> 嫗
5CE1 -> 4C4E : 峡 -> 䱎
5CE2 -> 7D2F : 峢 -> 累
5CE3 -> 7133 : 峣 -> 焳
5CE4 -> 8000 : 峤 -> 耀
5CE5 -> 93E9 : 峥 -> 鏩
5CE6 -> 3DBC : 峦 -> 㶼
5CE7 -> 35AE : 峧 -> 㖮
5CE8 -> 690E : 峨 -> 椎
5CE9 -> 90F4 : 峩 -> 郴
5CEA -> 914C : 峪 -> 酌
5CEB -> 73EA : 峫 -> 珪
5CEC -> 8062 : 峬 -> 聢
5CED -> 50BD : 峭 -> 傽
5CEE -> 5027 : 峮 -> 倧
5CEF -> 6AF9 : 峯 -> 櫹
5CF0 -> 4BED : 峰 -> 䯭
5CF1 -> 6060 : 峱 -> 恠
5CF2 -> 5927 : 峲 -> 大
5CF3 -> 2030 : 峳 -> ‰
5CF4 -> 8D6D : 峴 -> 赭
5CF5 -> 3BC6 : 峵 -> 㯆
5CF6 -> 7D1A : 島 -> 級
5CF7 -> 4E43 : 峷 -> 乃
5CF8 -> 71E0 : 峸 -> 燠
5CF9 -> 807C : 峹 -> 聼
5CFA -> 4C87 : 峺 -> 䲇
5CFB -> 6ECD : 峻 -> 滍
5CFC -> 65CF : 峼 -> 族
5CFD -> 428C : 峽 -> 䊌
5CFE -> 5C39 : 峾 -> 尹
5CFF -> 48A5 : 峿 -> 䢥
5D00 -> 96C5 : 崀 -> 雅
5D01 -> 9B64 : 崁 -> 魤
5D02 -> 95C1 : 崂 -> 闁
5D03 -> 66E4 : 崃 -> 曤
5D04 -> 59C4 : 崄 -> 姄
5D05 -> 4306 : 崅 -> 䌆
5D06 -> 8DF9 : 崆 -> 跹
5D07 -> 66E1 : 崇 -> 曡
5D08 -> 97CB : 崈 -> 韋
5D09 -> 6F6E : 崉 -> 潮
5D0A -> 31C6 : 崊 -> ㇆
5D0B -> 69E8 : 崋 -> 槨
5D0C -> 8F8B : 崌 -> 辋
5D0D -> 35F4 : 崍 -> 㗴
5D0E -> 4459 : 崎 -> 䑙
5D0F -> 5E61 : 崏 -> 幡
5D10 -> 95D9 : 崐 -> 闙
5D11 -> 46E5 : 崑 -> 䛥
5D12 -> 5AE6 : 崒 -> 嫦
5D13 -> 9F29 : 崓 -> 鼩
5D14 -> 7246 : 崔 -> 牆
5D15 -> 75FE : 崕 -> 痾
5D16 -> 9FF4 : 崖 -> 鿴
5D17 -> 7771 : 崗 -> 睱
5D18 -> 01F9 : 崘 -> ǹ
5D19 -> 5BB5 : 崙 -> 宵
5D1A -> 7E2C : 崚 -> 縬
5D1B -> 3587 : 崛 -> 㖇
5D1C -> 624F : 崜 -> 扏
5D1D -> 540F : 崝 -> 吏
5D1E -> 00B3 : 崞 -> ³
5D1F -> 804B : 崟 -> 聋
5D20 -> 9B79 : 崠 -> 魹
5D21 -> 69B0 : 崡 -> 榰
5D22 -> 6A55 : 崢 -> 橕
5D23 -> 572A : 崣 -> 圪
5D24 -> 4B08 : 崤 -> 䬈
5D25 -> 64EE : 崥 -> 擮
5D26 -> 5303 : 崦 -> 匃
5D27 -> 743F : 崧 -> 琿
5D28 -> 6B88 : 崨 -> 殈
5D29 -> 94BA : 崩 -> 钺
5D2A -> 4F2A : 崪 -> 伪
5D2B -> 8776 : 崫 -> 蝶
5D2C -> 5259 : 崬 -> 剙
5D2D -> 8C66 : 崭 -> 豦
5D2E -> 6240 : 崮 -> 所
5D2F -> 572B : 崯 -> 圫
5D30 -> 7344 : 崰 -> 獄
5D31 -> 9AAC : 崱 -> 骬
5D32 -> 691E : 崲 -> 椞
5D33 -> 78C1 : 崳 -> 磁
5D34 -> 6E26 : 崴 -> 渦
5D35 -> 93E4 : 崵 -> 鏤
5D36 -> 8B4A : 崶 -> 譊
5D37 -> 8164 : 崷 -> 腤
5D38 -> 40EC : 崸 -> 䃬
5D39 -> 3873 : 崹 -> 㡳
5D3A -> 8EDC : 崺 -> 軜
5D3B -> 6B2A : 崻 -> 欪
5D3C -> 5697 : 崼 -> 嚗
5D3D -> 006C : 崽 -> l
5D3E -> 8672 : 崾 -> 虲
5D3F -> 420F : 崿 -> 䈏
5D40 -> 523E : 嵀 -> 刾
5D41 -> 8E55 : 嵁 -> 蹕
5D42 -> 9303 : 嵂 -> 錃
5D43 -> 473A : 嵃 -> 䜺
5D44 -> 74CF : 嵄 -> 瓏
5D45 -> 8B36 : 嵅 -> 謶
5D46 -> 8E3A : 嵆 -> 踺
5D47 -> 9625 : 嵇 -> 阥
5D48 -> 616F : 嵈 -> 慯
5D49 -> 5A80 : 嵉 -> 媀
5D4A -> 5E14 : 嵊 -> 帔
5D4B -> 8C2C : 嵋 -> 谬
5D4C -> 62D4 : 嵌 -> 拔
5D4D -> 36B4 : 嵍 -> 㚴
5D4E -> 81FC : 嵎 -> 臼
5D4F -> 9645 : 嵏 -> 际
5D50 -> 8A2B : 嵐 -> 訫
5D51 -> 4D3E : 嵑 -> 䴾
5D52 -> 941B : 嵒 -> 鐛
5D53 -> 4D76 : 嵓 -> 䵶
5D54 -> 6465 : 嵔 -> 摥
5D55 -> 42AA : 嵕 -> 䊪
5D56 -> 364C : 嵖 -> 㙌
5D57 -> 6FBB : 嵗 -> 澻
5D58 -> 5491 : 嵘 -> 咑
5D59 -> 7BA3 : 嵙 -> 箣
5D5A -> 002E : 嵚 -> .
5D5B -> 60DE : 嵛 -> 惞
5D5C -> 5161 : 嵜 -> 兡
5D5D -> 3B63 : 嵝 -> 㭣
5D5E -> 88D4 : 嵞 -> 裔
5D5F -> 40D9 : 嵟 -> 䃙
5D60 -> 8D01 : 嵠 -> 贁
5D61 -> 69CB : 嵡 -> 構
5D62 -> 8057 : 嵢 -> 聗
5D63 -> 92C4 : 嵣 -> 鋄
5D64 -> 8DE5 : 嵤 -> 跥
5D65 -> 9D4B : 嵥 -> 鵋
5D66 -> 46BA : 嵦 -> 䚺
5D67 -> 7766 : 嵧 -> 睦
5D68 -> 5897 : 嵨 -> 増
5D69 -> 3720 : 嵩 -> 㜠
5D6A -> 7C12 : 嵪 -> 簒
5D6B -> 3B09 : 嵫 -> 㬉
5D6C -> 5CEB : 嵬 -> 峫
5D6D -> 4ADD : 嵭 -> 䫝
5D6E -> 56B4 : 嵮 -> 嚴
5D6F -> 4E8F : 嵯 -> 亏
5D70 -> 7392 : 嵰 -> 玒
5D71 -> 4005 : 嵱 -> 䀅
5D72 -> 5A04 : 嵲 -> 娄
5D73 -> 8C8E : 嵳 -> 貎
5D74 -> 640F : 嵴 -> 搏
5D75 -> 6093 : 嵵 -> 悓
5D76 -> 927A : 嵶 -> 鉺
5D77 -> 84F4 : 嵷 -> 蓴
5D78 -> 86B4 : 嵸 -> 蚴
5D79 -> 00AA : 嵹 -> ª
5D7A -> 7791 : 嵺 -> 瞑
5D7B -> 65EB : 嵻 -> 旫
5D7C -> 639E : 嵼 -> 掞
5D7D -> 58C3 : 嵽 -> 壃
5D7E -> 6625 : 嵾 -> 春
5D7F -> 5F02 : 嵿 -> 异
5D80 -> 5236 : 嶀 -> 制
5D81 -> 9309 : 嶁 -> 錉
5D82 -> 72E7 : 嶂 -> 狧
5D83 -> 96F3 : 嶃 -> 雳
5D84 -> 492E : 嶄 -> 䤮
5D85 -> 603E : 嶅 -> 怾
5D86 -> 7A74 : 嶆 -> 穴
5D87 -> 5B8B : 嶇 -> 宋
5D88 -> 82E3 : 嶈 -> 苣
5D89 -> 55A0 : 嶉 -> 喠
5D8A -> 8D72 : 嶊 -> 赲
5D8B -> 3B8E : 嶋 -> 㮎
5D8C -> 6A3B : 嶌 -> 樻
5D8D -> 9993 : 嶍 -> 馓
5D8E -> 99A3 : 嶎 -> 馣
5D8F -> 5C00 : 嶏 -> 尀
5D90 -> 75E0 : 嶐 -> 痠
5D91 -> 4FAC : 嶑 -> 侬
5D92 -> 8538 : 嶒 -> 蔸
5D93 -> 3CF9 : 嶓 -> 㳹
5D94 -> 6F6A : 嶔 -> 潪
5D95 -> 5F31 : 嶕 -> 弱
5D96 -> 75A3 : 嶖 -> 疣
5D97 -> 6BC2 : 嶗 -> 毂
5D98 -> 4B8D : 嶘 -> 䮍
5D99 -> 682D : 嶙 -> 栭
5D9A -> 98BA : 嶚 -> 颺
5D9B -> 995B : 嶛 -> 饛
5D9C -> 411B : 嶜 -> 䄛
5D9D -> 742D : 嶝 -> 琭
5D9E -> 3C1D : 嶞 -> 㰝
5D9F -> 450C : 嶟 -> 䔌
5DA0 -> 44EF : 嶠 -> 䓯
5DA1 -> 4678 : 嶡 -> 䙸
5DA2 -> 546A : 嶢 -> 呪
5DA3 -> 9F01 : 嶣 -> 鼁
5DA4 -> 55AD : 嶤 -> 喭
5DA5 -> 6A89 : 嶥 -> 檉
5DA6 -> 99AE : 嶦 -> 馮
5DA7 -> 481E : 嶧 -> 䠞
5DA8 -> 9E00 : 嶨 -> 鸀
5DA9 -> 72E1 : 嶩 -> 狡
5DAA -> 8DC0 : 嶪 -> 跀
5DAB -> 869E : 嶫 -> 蚞
5DAC -> 6686 : 嶬 -> 暆
5DAD -> 57A6 : 嶭 -> 垦
5DAE -> 94F7 : 嶮 -> 铷
5DAF -> 9992 : 嶯 -> 馒
5DB0 -> 7DCF : 嶰 -> 総
5DB1 -> 99C9 : 嶱 -> 駉
5DB2 -> 4336 : 嶲 -> 䌶
5DB3 -> 7C8D : 嶳 -> 粍
5DB4 -> 717F : 嶴 -> 煿
5DB5 -> 97F0 : 嶵 -> 韰
5DB6 -> 8014 : 嶶 -> 耔
5DB7 -> 562D : 嶷 -> 嘭
5DB8 -> 8C9A : 嶸 -> 貚
5DB9 -> 99D3 : 嶹 -> 駓
5DBA -> 88C7 : 嶺 -> 裇
5DBB -> 6C28 : 嶻 -> 氨
5DBC -> 3616 : 嶼 -> 㘖
5DBD -> 9412 : 嶽 -> 鐒
5DBE -> 863B : 嶾 -> 蘻
5DBF -> 5396 : 嶿 -> 厖
5DC0 -> 81C0 : 巀 -> 臀
5DC1 -> 9972 : 巁 -> 饲
5DC2 -> 748A : 巂 -> 璊
5DC3 -> 5888 : 巃 -> 墈
5DC4 -> 7D84 : 巄 -> 綄
5DC5 -> 5BA5 : 巅 -> 宥
5DC6 -> 40CE : 巆 -> 䃎
5DC7 -> 3F81 : 巇 -> 㾁
5DC8 -> 56FA : 巈 -> 固
5DC9 -> 68B9 : 巉 -> 梹
5DCA -> 30D2 : 巊 -> ヒ
5DCB -> 42E6 : 巋 -> 䋦
5DCC -> 8C1D : 巌 -> 谝
5DCD -> 496E : 巍 -> 䥮
5DCE -> 5854 : 巎 -> 塔
5DCF -> 7F91 : 巏 -> 羑
5DD0 -> 38C7 : 巐 -> 㣇
5DD1 -> 92AC : 巑 -> 銬
5DD2 -> 9010 : 巒 -> 逐
5DD3 -> 876A : 巓 -> 蝪
5DD4 -> 9668 : 巔 -> 陨
5DD5 -> 5096 : 巕 -> 傖
5DD6 -> 84C0 : 巖 -> 蓀
5DD7 -> 73B0 : 巗 -> 现
5DD8 -> 9BDF : 巘 -> 鯟
5DD9 -> 58F5 : 巙 -> 壵
5DDA -> 4201 : 巚 -> 䈁
5DDB -> 7928 : 巛 -> 礨
5DDC -> 650C : 巜 -> 攌
5DDD -> 855A : 川 -> 蕚
5DDE -> 74EF : 州 -> 瓯
5DDF -> 69D0 : 巟 -> 槐
5DE0 -> 3625 : 巠 -> 㘥
5DE1 -> 42AC : 巡 -> 䊬
5DE2 -> 36C6 : 巢 -> 㛆
5DE3 -> 85CD : 巣 -> 藍
5DE4 -> 5D90 : 巤 -> 嶐
5DE5 -> 4A53 : 工 -> 䩓
5DE6 -> 6AC0 : 左 -> 櫀
5DE7 -> 80E5 : 巧 -> 胥
5DE8 -> 5CCD : 巨 -> 峍
5DE9 -> 5B5C : 巩 -> 孜
5DEA -> 6011 : 巪 -> 怑
5DEB -> 7696 : 巫 -> 皖
5DEC -> 3E82 : 巬 -> 㺂
5DED -> 76FB : 巭 -> 盻
5DEE -> 7EA6 : 差 -> 约
5DEF -> 905B : 巯 -> 遛
5DF0 -> 48A9 : 巰 -> 䢩
5DF1 -> 8D81 : 己 -> 趁
5DF2 -> 9963 : 已 -> 饣
5DF3 -> 01D2 : 巳 -> ǒ
5DF4 -> 5F0B : 巴 -> 弋
5DF5 -> 8539 : 巵 -> 蔹
5DF6 -> 3938 : 巶 -> 㤸
5DF7 -> 82BC : 巷 -> 芼
5DF8 -> 340D : 巸 -> 㐍
5DF9 -> 667C : 巹 -> 晼
5DFA -> 98AB : 巺 -> 颫
5DFB -> 9E20 : 巻 -> 鸠
5DFC -> 6295 : 巼 -> 投
5DFD -> 7781 : 巽 -> 瞁
5DFE -> 8836 : 巾 -> 蠶
5DFF -> 9B57 : 巿 -> 魗
5E00 -> 7202 : 帀 -> 爂
5E01 -> 8E6A : 币 -> 蹪
5E02 -> 74E3 : 市 -> 瓣
5E03 -> 3A27 : 布 -> 㨧
5E04 -> 4552 : 帄 -> 䕒
5E05 -> 77CC : 帅 -> 矌
5E06 -> 793B : 帆 -> 礻
5E07 -> 9596 : 帇 -> 閖
5E08 -> 819E : 师 -> 膞
5E09 -> 6548 : 帉 -> 效
5E0A -> 34A4 : 帊 -> 㒤
5E0B -> 8723 : 帋 -> 蜣
5E0C -> 3EDB : 希 -> 㻛
5E0D -> 51DA : 帍 -> 凚
5E0E -> 9C5E : 帎 -> 鱞
5E0F -> 5FE7 : 帏 -> 忧
5E10 -> 8043 : 帐 -> 聃
5E11 -> 51A7 : 帑 -> 冧
5E12 -> 608E : 帒 -> 悎
5E13 -> 72D8 : 帓 -> 狘
5E14 -> 6AE7 : 帔 -> 櫧
5E15 -> 3F11 : 帕 -> 㼑
5E16 -> 91FC : 帖 -> 釼
5E17 -> 6989 : 帗 -> 榉
5E18 -> 8AE3 : 帘 -> 諣
5E19 -> 680A : 帙 -> 栊
5E1A -> 865F : 帚 -> 號
5E1B -> 92FD : 帛 -> 鋽
5E1C -> 39AD : 帜 -> 㦭
5E1D -> 5EAD : 帝 -> 庭
5E1E -> 8EDD : 帞 -> 軝
5E1F -> 6057 : 帟 -> 恗
5E20 -> 77FA : 帠 -> 矺
5E21 -> 8A39 : 帡 -> 訹
5E22 -> 9AB0 : 帢 -> 骰
5E23 -> 6732 : 帣 -> 朲
5E24 -> 5BFD : 帤 -> 寽
5E25 -> 34C2 : 帥 -> 㓂
5E26 -> 6883 : 带 -> 梃
5E27 -> 7E86 : 帧 -> 纆
5E28 -> 8CBF : 帨 -> 貿
5E29 -> 8592 : 帩 -> 薒
5E2A -> 63D3 : 帪 -> 揓
5E2B -> 539F : 師 -> 原
5E2C -> 8866 : 帬 -> 衦
5E2D -> 3E63 : 席 -> 㹣
5E2E -> 37F4 : 帮 -> 㟴
5E2F -> 4B2E : 帯 -> 䬮
5E30 -> 8284 : 帰 -> 芄
5E31 -> 7E04 : 帱 -> 縄
5E32 -> 3117 : 帲 -> ㄗ
5E33 -> 3A4F : 帳 -> 㩏
5E34 -> 5359 : 帴 -> 卙
5E35 -> 4036 : 帵 -> 䀶
5E36 -> 311B : 帶 -> ㄛ
5E37 -> 9D88 : 帷 -> 鶈
5E38 -> 4C1A : 常 -> 䰚
5E39 -> 7353 : 帹 -> 獓
5E3A -> 9BD3 : 帺 -> 鯓
5E3B -> 75D3 : 帻 -> 痓
5E3C -> 8DCC : 帼 -> 跌
5E3D -> 9919 : 帽 -> 餙
5E3E -> 8F9A : 帾 -> 辚
5E3F -> 80A5 : 帿 -> 肥
5E40 -> 8D2D : 幀 -> 购
5E41 -> 5CBC : 幁 -> 岼
5E42 -> 92F8 : 幂 -> 鋸
5E43 -> 5B99 : 幃 -> 宙
5E44 -> 6575 : 幄 -> 敵
5E45 -> 6DE2 : 幅 -> 淢
5E46 -> 5745 : 幆 -> 坅
5E47 -> 3E1B : 幇 -> 㸛
5E48 -> 3B49 : 幈 -> 㭉
5E49 -> 79B2 : 幉 -> 禲
5E4A -> 456C : 幊 -> 䕬
5E4B -> 568C : 幋 -> 嚌
5E4C -> FF35 : 幌 -> Ｕ
5E4D -> 84AD : 幍 -> 蒭
5E4E -> 95D2 : 幎 -> 闒
5E4F -> 57C5 : 幏 -> 埅
5E50 -> 9BF4 : 幐 -> 鯴
5E51 -> 650B : 幑 -> 攋
5E52 -> 6DF9 : 幒 -> 淹
5E53 -> 750F : 幓 -> 甏
5E54 -> 8CE6 : 幔 -> 賦
5E55 -> 4B0C : 幕 -> 䬌
5E56 -> 5FE3 : 幖 -> 忣
5E57 -> 7832 : 幗 -> 砲
5E58 -> 77A4 : 幘 -> 瞤
5E59 -> FF24 : 幙 -> Ｄ
5E5A -> 7A41 : 幚 -> 穁
5E5B -> 8F52 : 幛 -> 轒
5E5C -> 7F23 : 幜 -> 缣
5E5D -> 60D0 : 幝 -> 惐
5E5E -> 901D : 幞 -> 逝
5E5F -> 4C3D : 幟 -> 䰽
5E60 -> 8E41 : 幠 -> 蹁
5E61 -> 766B : 幡 -> 癫
5E62 -> 6C46 : 幢 -> 汆
5E63 -> 86A5 : 幣 -> 蚥
5E64 -> 6899 : 幤 -> 梙
5E65 -> 545E : 幥 -> 呞
5E66 -> 4D70 : 幦 -> 䵰
5E67 -> 7C38 : 幧 -> 簸
5E68 -> 9870 : 幨 -> 顰
5E69 -> 7FAF : 幩 -> 羯
5E6A -> 7A88 : 幪 -> 窈
5E6B -> 49AA : 幫 -> 䦪
5E6C -> 69D5 : 幬 -> 槕
5E6D -> 3550 : 幭 -> 㕐
5E6E -> 4477 : 幮 -> 䑷
5E6F -> FE13 : 幯 -> ︓
5E70 -> 3798 : 幰 -> 㞘
5E71 -> 7368 : 幱 -> 獨
5E72 -> 4F39 : 干 -> 伹
5E73 -> 6E87 : 平 -> 溇
5E74 -> 837D : 年 -> 荽
5E75 -> 58F0 : 幵 -> 声
5E76 -> 8FA0 : 并 -> 辠
5E77 -> 67FA : 幷 -> 柺
5E78 -> 96F1 : 幸 -> 雱
5E79 -> 99D4 : 幹 -> 駔
5E7A -> 9C96 : 幺 -> 鲖
5E7B -> 7C07 : 幻 -> 簇
5E7C -> 4D4F : 幼 -> 䵏
5E7D -> 7284 : 幽 -> 犄
5E7E -> 3839 : 幾 -> 㠹
5E7F -> 0059 : 广 -> Y
5E80 -> 68EB : 庀 -> 棫
5E81 -> 831C : 庁 -> 茜
5E82 -> 48E8 : 庂 -> 䣨
5E83 -> 9FE2 : 広 -> 鿢
5E84 -> 794F : 庄 -> 祏
5E85 -> 6308 : 庅 -> 挈
5E86 -> 4473 : 庆 -> 䑳
5E87 -> 83D1 : 庇 -> 菑
5E88 -> 6397 : 庈 -> 掗
5E89 -> 4456 : 庉 -> 䑖
5E8A -> 6B1A : 床 -> 欚
5E8B -> 45CE : 庋 -> 䗎
5E8C -> 7217 : 庌 -> 爗
5E8D -> 5282 : 庍 -> 劂
5E8E -> 252F : 庎 -> ┯
5E8F -> 6C70 : 序 -> 汰
5E90 -> 6A51 : 庐 -> 橑
5E91 -> 3652 : 庑 -> 㙒
5E92 -> 5B40 : 庒 -> 孀
5E93 -> 3059 : 库 -> す
5E94 -> 51EC : 应 -> 凬
5E95 -> 6394 : 底 -> 掔
5E96 -> 51DD : 庖 -> 凝
5E97 -> 737C : 店 -> 獼
5E98 -> 91BE : 庘 -> 醾
5E99 -> 6A47 : 庙 -> 橇
5E9A -> 3999 : 庚 -> 㦙
5E9B -> 3882 : 庛 -> 㢂
5E9C -> 75FF : 府 -> 痿
5E9D -> 755D : 庝 -> 畝
